home_name,competition_name,gameId,hta,away_id,htf,away_logo,league,home_id,home_score,result,date,away_score,home_logo,away_name,ground
Trinidad and Tobago,NACRA Rugby,225399,-,73,-,,225385,70,34,won,24 May 2014,5,,Barbados,Port-of-Spain
Mexico,NACRA Rugby,258689,13,173646,19,,258685,78,50,won,7 Mar 2015,25,,USA South Panthers,Mexico City
USA South Panthers,NACRA Rugby,258697,12,77,8,,258685,173646,24,won,21 Mar 2015,25,,Cayman Islands,Atlanta
Nigeria,African CAR Championship,267131,13,267121,5,,259381,79,34,won,24 Jun 2015,23,,Zimbabwe Under-23s,Lusaka
Bahamas,NACRA Rugby,225393,-,78,-,,225385,92,18,won,17 May 2014,33,,Mexico,Nassau
Andorra,FIRA Championship D2,239935,20,90,8,,239923,80,15,lost,18 Oct 2014,34,,Lithuania,Andorra la Vella
Lithuania,FIRA Championship D2,273021,32,80,17,,239923,90,49,lost,31 Oct 2015,17,,Andorra,Siauliai
Cyprus,FIRA Championship D2,239951,7,80,10,,239923,139,30,lost,1 Nov 2014,10,,Andorra,Paphos
Andorra,FIRA Championship D2,240011,12,89,8,,239923,80,23,won,4 Apr 2015,18,,Hungary,Andorra la Vella
Georgia,Tbilisi Cup,220931,12,214,13,,220925,81,16,lost,18 Jun 2014,26,http://assets.espn.go.com/i/teamlogos/countries/500/geo.png,Argentina Jaguares,Tbilisi
Georgia,Tbilisi Cup,259411,10,182835,5,,259383,81,12,lost,21 Jun 2015,45,http://assets.espn.go.com/i/teamlogos/countries/500/geo.png,Emerging Ireland,Tbilisi
Georgia,Rugby World Cup,182000,0,82,6,http://assets.espn.go.com/i/teamlogos/countries/500/nam.png,164205,81,17,lost,7 Oct 2015,16,http://assets.espn.go.com/i/teamlogos/countries/500/geo.png,Namibia,Exeter
Georgia,Tbilisi Cup,259407,3,204,3,,259383,81,10,lost,17 Jun 2015,26,http://assets.espn.go.com/i/teamlogos/countries/500/geo.png,Emerging Italy,Tbilisi
Latvia,FIRA Championship D2,240035,5,80,11,,239923,87,5,won,2 May 2015,14,,Andorra,Riga
Georgia,Tbilisi Cup,220935,0,204,13,,220925,81,34,won,22 Jun 2014,10,http://assets.espn.go.com/i/teamlogos/countries/500/geo.png,Emerging Italy,Tbilisi
Finland,FIRA Championship D2,242941,0,171355,17,,239923,74,20,won,23 May 2015,12,,Turkey,Helsinki
Finland,FIRA Championship D2,273001,5,88,0,,239923,74,6,lost,3 Oct 2015,12,,Bosnia and Herzegovina,Helsinki
Mexico,NACRA Rugby,225413,0,112,48,,225385,78,96,won,28 Jun 2014,0,,Turks and Caicos Islands,Mexico City
Malta,FIRA Championship D2,239949,19,83,12,,239923,108,31,lost,1 Nov 2014,26,,Croatia,Paola
Croatia,FIRA Championship D2,240013,5,91,9,,239923,83,9,lost,11 Apr 2015,12,,Czech Republic,Zagreb
Croatia,FIRA Championship D2,190295,8,90,3,,168470,83,25,won,19 Apr 2014,21,,Lithuania,Zagreb
Latvia,FIRA Championship D2,228585,10,83,3,,168470,87,10,won,21 Jun 2014,16,,Croatia,Rida
Moldova,FIRA Championship D1,239955,17,84,10,,239921,94,29,lost,8 Nov 2014,15,,Ukraine,Chisinau
Moldova,FIRA Championship D1,190281,14,84,5,,168469,94,28,lost,12 Apr 2014,8,,Ukraine,Chisinau
Bosnia and Herzegovina,FIRA Championship D2,228581,5,85,23,,168470,88,12,won,7 Jun 2014,26,,Austria,Tesanj
Latvia,FIRA Championship D2,273023,11,89,3,,239923,87,39,lost,31 Oct 2015,10,,Hungary,Riga
Austria,FIRA Championship D2,240033,0,86,13,,239923,85,16,lost,25 Apr 2015,17,,Slovenia,Vienna
Hungary,FIRA Championship D2,273015,15,90,10,,239923,89,15,lost,24 Oct 2015,37,,Lithuania,Esztergom
Austria,FIRA Championship D2,190315,3,86,10,,168470,85,20,won,3 May 2014,8,,Slovenia,Vienna
Hungary,FIRA Championship D2,190291,20,85,0,,168470,89,23,lost,12 Apr 2014,12,,Austria,Esztergom
Cyprus,FIRA Championship D2,273029,3,87,18,,239923,139,3,won,7 Nov 2015,31,,Latvia,Paphos
Turkey,FIRA Championship D2,242931,10,88,16,,239923,171355,25,won,25 Oct 2014,34,,Bosnia and Herzegovina,Edirne
Czech Republic,FIRA Championship D2,239957,0,108,15,,239923,91,27,won,8 Nov 2014,13,,Malta,Prague
Cyprus,FIRA Championship D2,240037,3,90,21,,239923,139,20,won,2 May 2015,26,,Lithuania,Paphos
Bosnia and Herzegovina,FIRA Championship D2,273011,9,171355,10,,239923,88,24,won,17 Oct 2015,21,,Turkey,Zenica
Latvia,FIRA Championship D2,239969,10,139,15,,239923,87,39,won,15 Nov 2014,20,,Cyprus,Riga
Turks and Caicos Islands,NACRA Rugby,258711,-,92,-,,258685,112,7,won,18 Apr 2015,24,,Bahamas,Providenciales
Turks and Caicos Islands,NACRA Rugby,225401,-,92,-,,225385,112,11,won,31 May 2014,13,,Bahamas,Providenciales
Hungary,FIRA Championship D2,240009,5,139,9,,239923,89,15,lost,28 Mar 2015,17,,Cyprus,Szazhalombatta
Hungary,FIRA Championship D2,239953,10,87,11,,239923,89,14,lost,2 Nov 2014,16,,Latvia,Esztergom
Czech Republic,FIRA Championship D1,190301,0,94,15,,168469,91,37,won,26 Apr 2014,19,,Moldova,Prague
Lithuania,FIRA Championship D2,239941,25,89,7,,239923,90,38,lost,25 Oct 2014,29,,Hungary,Siauliai
Cyprus,FIRA Championship D2,190321,29,89,6,,168470,139,46,lost,17 May 2014,13,,Hungary,Paphos
Algeria,Crescent Cup,265727,-,95,-,,265717,142722,26,lost,6 Jun 2015,5,,Kazakhstan,Melaka
Algeria,Crescent Cup,265731,-,95,-,,265717,142722,15,lost,10 Jun 2015,0,,Kazakhstan,Melaka
Kazakhstan,Crescent Cup,265733,-,113561,-,,265717,95,35,won,14 Jun 2015,25,,Lebanon,Melaka
Botswana,African CAR Championship,229311,-,5,-,http://assets.espn.go.com/i/teamlogos/countries/500/rsa.png,220517,100,9,lost,18 Jun 2014,54,,South Africa,Gaberone
Lithuania,FIRA Championship D2,240029,18,87,6,,239923,90,46,lost,25 Apr 2015,11,,Latvia,Siauliai
St Lucia,NACRA Rugby,258687,7,99,10,,258685,102,14,won,28 Feb 2015,22,,British Virgin Islands,Castries
China,A5E3,262871,-,130,-,,265845,101,17,lost,10 Jun 2015,34,,Guam,Jakarta
Botswana,African CAR Championship,229305,-,103,-,,220517,100,87,won,15 Jun 2014,0,,Swaziland,Gaberone
China,A53E,222829,-,138,-,,222793,101,10,won,29 May 2014,6,,Indonesia,Vientiane
British Virgin Islands,NACRA Rugby,260037,0,173647,12,,258685,99,19,won,2 May 2015,0,,Curacao,Tortola
China,A53E,222833,-,130,-,,222793,101,41,won,31 May 2014,10,,Guam,Vientiane
Colombia,South American Championship,239331,10,104,27,,239319,97,27,won,6 Sep 2014,10,,Venezuela,Antioquia
Indonesia,A5E3,262867,13,101,7,,265845,138,21,won,13 Jun 2015,47,,China,Jakarta
Colombia,South American Championship,239323,0,177673,66,,239319,97,112,won,31 Aug 2014,0,,Ecuador,Antioquia
British Virgin Islands,NACRA Rugby,225411,-,102,-,,225385,99,18,lost,8 Jun 2014,29,,St Lucia,Tortola
St Lucia,NACRA Rugby,228589,-,129,-,,225385,102,26,won,21 Jun 2014,22,,St Vincent and Grenadines,Castries
St Lucia,NACRA Rugby,258699,10,129,0,,258685,102,8,lost,21 Mar 2015,16,,St Vincent and Grenadines,Castries
St Vincent and Grenadines,NACRA Rugby,258713,-,99,-,,258685,129,15,won,18 Apr 2015,22,,British Virgin Islands,Kingstown
British Virgin Islands,NACRA Rugby,225395,12,129,5,,225385,99,22,lost,17 May 2014,24,,St Vincent and Grenadines,Tortola
India,A53W,222837,-,84916,-,,222797,105,17,lost,19 Jun 2014,23,,Uzbekistan,Lahore
St Lucia,NACRA Rugby,258705,-,173647,-,,258685,102,19,lost,11 Apr 2015,36,,Curacao,Castries
Ecuador,South American Championship,239325,0,104,54,,239319,177673,3,won,3 Sep 2014,68,,Venezuela,Antioquia
Curacao,NACRA Rugby,228587,-,99,-,,225385,173647,42,lost,21 Jun 2014,12,,British Virgin Islands,Blue Bay
