htf,rival_name,hta,team_score,rival_score,team_id,result,date,ground
-,v British Army,-,26,9,7,won,19 Mar 2000,Hanover
-,v Ukraine,-,20,17,7,won,2 Apr 2000,Odessa
-,v Russia,-,6,89,7,lost,16 Apr 2000,Krasnodar
-,v Croatia,-,11,38,7,lost,30 Apr 2000,Hamburg
-,v Denmark,-,19,39,7,lost,7 May 2000,Varel
-,v Poland,-,13,26,7,lost,22 Oct 2000,Berlin
6,v Ukraine,3,12,19,7,lost,12 Nov 2000,Heusenstamm
20,v Czech Rep,6,30,17,7,won,8 Apr 2001,Constance
3,v England,25,18,50,3,lost,5 Feb 2000,Twickenham
-,v Denmark,-,21,10,7,won,28 Apr 2001,Copenhagen
-,v Croatia,-,14,14,7,draw,20 May 2001,Split
10,v Sweden,3,10,32,7,lost,21 Oct 2001,Malmo
21,v Denmark,14,34,24,7,won,10 Nov 2001,Heidelburg
13,v Scotland,10,44,22,3,won,19 Feb 2000,Lansdowne Road
33,v Italy,0,60,13,3,won,4 Mar 2000,Lansdowne Road
7,v France,13,27,25,3,won,19 Mar 2000,Stade de France
6,v Wales,10,19,23,3,lost,1 Apr 2000,Lansdowne Road
25,v Latvia,0,44,0,7,won,24 Nov 2001,Hanover
0,v Poland,3,12,20,7,lost,6 Apr 2002,Gdynia
-,v Ukraine,-,26,26,7,draw,24 Nov 2002,Heidelburg
12,v Netherlands,3,15,3,7,won,9 Mar 2003,Hanover
-,v Poland,-,37,15,7,won,29 Mar 2003,Gdynia
-,v Sweden,-,24,16,7,won,27 Apr 2003,Trelleborg
5,v Argentina,8,23,34,3,lost,3 Jun 2000,Buenos Aires
31,v USA,3,83,3,3,won,10 Jun 2000,Manchester
8,v Canada,21,27,27,3,draw,17 Jun 2000,Markham
-,v Ukraine,-,3,6,7,lost,12 Oct 2003,Kiev
10,v Netherlands,6,13,14,7,lost,10 Apr 2004,Amsterdam
-,v Sweden,-,40,0,7,won,25 Apr 2004,Hanover
5,v Poland,10,34,10,7,won,16 May 2004,Heidelburg
29,v Japan,9,78,9,3,won,11 Nov 2000,Lansdowne Road
10,v South Africa,13,18,28,3,lost,19 Nov 2000,Lansdowne Road
16,v Italy,8,41,22,3,won,3 Feb 2001,Rome
9,v France,3,22,15,3,won,17 Feb 2001,Lansdowne Road
9,v Romania,3,37,3,3,won,2 Jun 2001,Bucharest
13,v Moldova,6,27,18,7,won,13 Nov 2004,Chisinau
53,v Luxembourg,0,96,0,7,won,27 Nov 2004,Heidelburg
-,v Denmark,-,56,0,7,won,2 Apr 2005,Heidelburg
28,v Austria,6,69,9,7,won,23 Apr 2005,Vienna
3,v Malta,0,43,0,7,won,29 Oct 2005,Paola
0,v Scotland,17,10,32,3,lost,22 Sep 2001,Murrayfield
15,v Wales,3,36,6,3,won,13 Oct 2001,Millennium Stadium
11,v England,6,20,14,3,won,20 Oct 2001,Lansdowne Road
16,v Samoa,3,35,8,3,won,11 Nov 2001,Lansdowne Road
16,v New Zealand,7,29,40,3,lost,17 Nov 2001,Lansdowne Road
24,v Wales,3,54,10,3,won,3 Feb 2002,Lansdowne Road
60,v Serbia & Mon,0,108,0,7,won,12 Nov 2005,Heidelburg
10,v Croatia,9,25,15,7,won,22 Apr 2006,Zagreb
21,v Belgium,10,33,15,7,won,29 Apr 2006,Hanover
6,v England,31,11,45,3,lost,16 Feb 2002,Twickenham
22,v Scotland,12,43,22,3,won,2 Mar 2002,Lansdowne Road
19,v Italy,0,32,17,3,won,23 Mar 2002,Lansdowne Road
5,v France,28,5,44,3,lost,6 Apr 2002,Stade de France
3,v New Zealand,10,6,15,3,lost,15 Jun 2002,Dunedin
5,v Spain,3,18,6,7,won,13 May 2006,Heidelburg
10,v Spain,12,10,36,7,lost,27 May 2006,Madrid
28,v Switzerland,3,40,10,7,won,16 Sep 2006,Berne
24,v Moldova,18,24,26,7,lost,11 Nov 2006,Chisinau
19,v Belgium,6,32,13,7,won,18 Nov 2006,Heidelburg
16,v Ukraine,14,22,14,7,won,21 Apr 2007,Kiev
12,v Netherlands,5,21,12,7,won,28 Apr 2007,Hanover
3,v New Zealand,13,8,40,3,lost,22 Jun 2002,Auckland
32,v Romania,3,39,8,3,won,7 Sep 2002,Limerick
18,v Russia,0,35,3,3,won,21 Sep 2002,Krasnoyarsk
42,v Georgia,0,63,14,3,won,28 Sep 2002,Lansdowne Road
3,v Belgium,18,18,32,7,lost,10 Nov 2007,Brussels
17,v Moldova,0,34,5,7,won,24 Nov 2007,Heidelburg
6,v Ukraine,5,13,5,7,won,19 Apr 2008,Hanover
13,v Netherlands,12,27,17,7,won,26 Apr 2008,Amsterdam
9,v Wales Dev XV,5,14,27,7,lost,8 Nov 2008,Berlin
8,v Spain,16,11,22,7,lost,15 Nov 2008,Madrid
5,v Georgia,10,5,38,7,lost,7 Feb 2009,Heidelburg
12,v Australia,3,18,9,3,won,9 Nov 2002,Lansdowne Road
39,v Fiji,3,64,17,3,won,17 Nov 2002,Lansdowne Road
10,v Argentina,7,16,7,3,won,23 Nov 2002,Lansdowne Road
13,v Scotland,0,36,6,3,won,16 Feb 2003,Murrayfield
18,v Italy,3,37,13,3,won,22 Feb 2003,Rome
12,v France,3,15,12,3,won,8 Mar 2003,Lansdowne Road
10,v Italy,12,20,34,2,lost,5 Feb 2000,Rome
0,v Romania,7,0,22,7,lost,14 Feb 2009,Heidelburg
3,v Portugal,20,6,44,7,lost,21 Feb 2009,Lisbon
14,v Wales,7,25,24,3,won,22 Mar 2003,Millennium Stadium
6,v England,13,6,42,3,lost,30 Mar 2003,Lansdowne Road
13,v Australia,14,16,45,3,lost,7 Jun 2003,Perth
20,v Tonga,14,40,19,3,won,14 Jun 2003,Nuku A'lofa
9,v Samoa,7,40,14,3,won,20 Jun 2003,Apia
10,v Ireland,13,22,44,2,lost,19 Feb 2000,Lansdowne Road
6,v France,10,16,28,2,lost,4 Mar 2000,Murrayfield
3,v Wales,13,18,26,2,lost,18 Mar 2000,Millennium Stadium
9,v England,10,19,13,2,won,2 Apr 2000,Murrayfield
6,v New Zealand,26,20,69,2,lost,24 Jun 2000,Dunedin
0,v New Zealand,24,14,48,2,lost,1 Jul 2000,Auckland
0,v Russia,22,0,53,7,lost,2 May 2009,Hanover
16,v Hong Kong,0,24,14,7,won,12 Dec 2009,Heidelburg
3,v Georgia,42,3,77,7,lost,6 Feb 2010,Tbilisi
5,v Romania,20,5,67,7,lost,13 Feb 2010,Constanta
14,v Wales,5,35,12,3,won,16 Aug 2003,Lansdowne Road
23,v Italy,6,61,6,3,won,30 Aug 2003,Limerick
10,v Scotland,3,29,10,3,won,6 Sep 2003,Murrayfield
26,v Romania,0,45,17,3,won,11 Oct 2003,Gosford
33,v Namibia,7,64,7,3,won,19 Oct 2003,Sydney
15,v USA,3,53,6,2,won,4 Nov 2000,Murrayfield
9,v Australia,9,9,30,2,lost,11 Nov 2000,Murrayfield
14,v Samoa,8,31,8,2,won,18 Nov 2000,Murrayfield
6,v France,6,6,16,2,lost,4 Feb 2001,Stade de France
6,v Wales,18,28,28,2,draw,17 Feb 2001,Murrayfield
3,v England,22,3,43,2,lost,3 Mar 2001,Twickenham
0,v Portugal,31,0,69,7,lost,27 Feb 2010,Heusenstamm
3,v Russia,20,11,48,7,lost,13 Mar 2010,Sotchi
3,v Spain,7,17,21,7,lost,20 Mar 2010,Heidelburg
14,v Poland,9,17,22,7,lost,20 Nov 2010,Frankfurt
18,v Netherlands,10,29,10,7,won,27 Nov 2010,Amsterdam
10,v Argentina,9,16,15,3,won,26 Oct 2003,Adelaide
6,v Australia,11,16,17,3,lost,1 Nov 2003,Melbourne
0,v France,27,21,43,3,lost,9 Nov 2003,Melbourne
3,v France,11,17,35,3,lost,14 Feb 2004,Stade de France
24,v Wales,3,36,15,3,won,22 Feb 2004,Lansdowne Road
6,v Italy,10,23,19,2,won,17 Mar 2001,Murrayfield
17,v Ireland,0,32,10,2,won,22 Sep 2001,Murrayfield
22,v Tonga,11,43,20,2,won,10 Nov 2001,Murrayfield
8,v Argentina,6,16,25,2,lost,18 Nov 2001,Murrayfield
6,v New Zealand,9,6,37,2,lost,24 Nov 2001,Murrayfield
13,v Czech Rep,26,23,29,7,lost,12 Mar 2011,Heidelburg
13,v Belgium,18,25,28,7,lost,19 Mar 2011,Brussels
8,v Moldova,13,15,28,7,lost,2 Apr 2011,Chisinau
12,v England,10,19,13,3,won,6 Mar 2004,Twickenham
12,v Italy,0,19,3,3,won,20 Mar 2004,Lansdowne Road
16,v Scotland,9,37,16,3,won,27 Mar 2004,Lansdowne Road
11,v South Africa,11,17,31,3,lost,12 Jun 2004,Bloemfontein
10,v South Africa,20,17,26,3,lost,19 Jun 2004,Cape Town
8,v South Africa,3,17,12,3,won,13 Nov 2004,Lansdowne Road
3,v England,12,3,29,2,lost,2 Feb 2002,Murrayfield
9,v Italy,9,29,12,2,won,16 Feb 2002,Rome
12,v Ireland,22,22,43,2,lost,2 Mar 2002,Lansdowne Road
3,v France,10,10,22,2,lost,23 Mar 2002,Murrayfield
15,v Wales,9,27,22,2,won,6 Apr 2002,Millennium Stadium
15,v Canada,13,23,26,2,lost,15 Jun 2002,Vancouver
29,v USA,13,65,23,2,won,22 Jun 2002,San Francisco
15,v Netherlands,0,23,7,7,won,12 Nov 2011,Hanover
8,v Poland,20,8,34,7,lost,19 Nov 2011,Gdansk
10,v Czech Rep,0,20,17,7,won,10 Mar 2012,Prague
22,v Belgium,9,29,30,7,lost,17 Mar 2012,Heusenstamm
16,v Moldova,7,40,7,7,won,24 Mar 2012,Heidelburg
24,v Ukraine,14,46,28,7,won,27 Oct 2012,Berlin
7,v Poland,7,13,22,7,lost,3 Nov 2012,Gdansk
13,v USA,6,55,6,3,won,20 Nov 2004,Lansdowne Road
6,v Argentina,16,21,19,3,won,27 Nov 2004,Lansdowne Road
8,v Italy,6,28,17,3,won,6 Feb 2005,Rome
18,v Scotland,8,40,13,3,won,12 Feb 2005,Murrayfield
20,v Romania,3,37,10,2,won,9 Nov 2002,Murrayfield
6,v South Africa,6,21,6,2,won,16 Nov 2002,Murrayfield
18,v Fiji,12,36,22,2,won,24 Nov 2002,Murrayfield
0,v Ireland,13,6,36,2,lost,16 Feb 2003,Murrayfield
3,v France,17,3,38,2,lost,23 Feb 2003,Stade de France
20,v Wales,10,30,22,2,won,8 Mar 2003,Murrayfield
19,v Moldova,0,32,14,7,won,17 Nov 2012,Heidelburg
10,v Czech Rep,5,27,8,7,won,9 Mar 2013,Prague
35,v Sweden,0,73,17,7,won,6 Apr 2013,Hamburg
15,v Ukraine,6,28,16,7,won,26 Oct 2013,Komsomolsk
24,v Poland,6,43,13,7,won,9 Nov 2013,Berlin
7,v Moldova,11,15,30,7,lost,16 Nov 2013,Chisinau
26,v Czech Rep,12,76,12,7,won,5 Apr 2014,Heidelburg
-,v Sweden,-,45,20,7,won,26 Apr 2014,Stockholm
12,v England,10,19,13,3,won,27 Feb 2005,Lansdowne Road
9,v France,18,19,26,3,lost,12 Mar 2005,Lansdowne Road
6,v Wales,16,20,32,3,lost,19 Mar 2005,Millennium Stadium
26,v Japan,9,44,12,3,won,12 Jun 2005,Osaka
9,v England,16,9,40,2,lost,22 Mar 2003,Twickenham
23,v Italy,15,33,25,2,won,29 Mar 2003,Murrayfield
12,v South Africa,6,25,29,2,lost,7 Jun 2003,Durban
16,v South Africa,12,19,28,2,lost,14 Jun 2003,Johannesburg
28,v Italy,8,47,15,2,won,23 Aug 2003,Murrayfield
0,v Wales,12,9,23,2,lost,30 Aug 2003,Millennium Stadium
17,v Netherlands,7,17,7,7,won,10 May 2014,Amsterdam
3,v Russia,10,20,31,7,lost,24 May 2014,Hamburg
6,v Namibia,36,20,58,7,lost,29 Oct 2014,Windhoek
14,v Japan,10,47,18,3,won,19 Jun 2005,Tokyo
0,v New Zealand,25,7,45,3,lost,12 Nov 2005,Lansdowne Road
6,v Australia,3,14,30,3,lost,19 Nov 2005,Lansdowne Road
17,v Romania,6,43,12,3,won,26 Nov 2005,Lansdowne Road
10,v Italy,10,26,16,3,won,4 Feb 2006,Lansdowne Road
3,v France,29,31,43,3,lost,11 Feb 2006,Stade de France
11,v Wales,5,31,5,3,won,26 Feb 2006,Lansdowne Road
3,v Ireland,10,10,29,2,lost,6 Sep 2003,Murrayfield
15,v Japan,6,32,11,2,won,12 Oct 2003,Townsville
24,v USA,9,39,15,2,won,20 Oct 2003,Brisbane
6,v France,19,9,51,2,lost,25 Oct 2003,Sydney
8,v Georgia,31,8,64,7,lost,7 Feb 2015,Heusenstamm
15,v Russia,12,22,46,7,lost,14 Feb 2015,Pforzheim
0,v Portugal,5,3,11,7,lost,28 Feb 2015,Lisbon
6,v Romania,8,12,17,7,lost,14 Mar 2015,Heidelburg
3,v Spain,8,16,48,7,lost,21 Mar 2015,Madrid
12,v Scotland,9,15,9,3,won,11 Mar 2006,Lansdowne Road
11,v England,8,28,24,3,won,18 Mar 2006,Twickenham
16,v New Zealand,8,23,34,3,lost,10 Jun 2006,Hamilton
14,v New Zealand,20,17,27,3,lost,17 Jun 2006,Auckland
3,v Australia,11,15,37,3,lost,24 Jun 2006,Perth
22,v South Africa,3,32,15,3,won,11 Nov 2006,Lansdowne Road
15,v Australia,3,21,6,3,won,19 Nov 2006,Lansdowne Road
30,v Pacific Is,12,61,17,3,won,26 Nov 2006,Lansdowne Road
6,v Fiji,14,22,20,2,won,1 Nov 2003,Sydney
9,v Australia,9,16,33,2,lost,8 Nov 2003,Brisbane
3,v Wales,18,10,23,2,lost,14 Feb 2004,Millennium Stadium
6,v England,20,13,35,2,lost,21 Feb 2004,Murrayfield
27,v Canada,10,51,18,5,won,10 Jun 2000,East London
12,v Wales,9,19,9,3,won,4 Feb 2007,Millennium Stadium
11,v France,13,17,20,3,lost,11 Feb 2007,Croke Park
23,v England,3,43,13,3,won,24 Feb 2007,Croke Park
13,v Scotland,9,19,18,3,won,10 Mar 2007,Murrayfield
20,v Italy,12,51,24,3,won,17 Mar 2007,Rome
9,v Italy,9,14,20,2,lost,6 Mar 2004,Rome
0,v France,11,0,31,2,lost,21 Mar 2004,Murrayfield
9,v Ireland,16,16,37,2,lost,27 Mar 2004,Lansdowne Road
11,v Samoa,3,38,3,2,won,4 Jun 2004,Wellington
12,v Australia,13,15,35,2,lost,13 Jun 2004,Melbourne
10,v Australia,17,13,34,2,lost,19 Jun 2004,Sydney
15,v England,10,18,13,5,won,17 Jun 2000,Pretoria
12,v England,18,22,27,5,lost,24 Jun 2000,Bloemfontein
23,v Australia,17,23,44,5,lost,8 Jul 2000,Melbourne
12,v New Zealand,19,12,25,5,lost,22 Jul 2000,Christchurch
10,v Argentina,6,20,22,3,lost,26 May 2007,Santa Fe
0,v Argentina,6,0,16,3,lost,2 Jun 2007,Buenos Aires
6,v Scotland,19,21,31,3,lost,11 Aug 2007,Murrayfield
10,v Italy,13,23,20,3,won,24 Aug 2007,Belfast
20,v Namibia,3,32,17,3,won,9 Sep 2007,Bordeaux
0,v Australia,28,14,31,2,lost,6 Nov 2004,Murrayfield
36,v Japan,8,100,8,2,won,13 Nov 2004,Perth
9,v Australia,17,17,31,2,lost,20 Nov 2004,Glasgow
10,v South Africa,32,10,45,2,lost,27 Nov 2004,Murrayfield
6,v France,0,9,16,2,lost,5 Feb 2005,Stade de France
8,v Ireland,18,13,40,2,lost,12 Feb 2005,Murrayfield
6,v Italy,3,18,10,2,won,26 Feb 2005,Murrayfield
6,v Australia,19,6,26,5,lost,29 Jul 2000,Sydney
33,v New Zealand,27,46,40,5,won,19 Aug 2000,Johannesburg
6,v Australia,13,18,19,5,lost,26 Aug 2000,Durban
24,v Argentina,16,37,33,5,won,12 Nov 2000,Buenos Aires
13,v Ireland,10,28,18,5,won,19 Nov 2000,Lansdowne Road
7,v Georgia,3,14,10,3,won,15 Sep 2007,Bordeaux
3,v France,12,3,25,3,lost,21 Sep 2007,Stade de France
10,v Argentina,18,15,30,3,lost,30 Sep 2007,Parc des Princes
10,v Italy,3,16,11,3,won,2 Feb 2008,Croke Park
6,v France,19,21,26,3,lost,9 Feb 2008,Stade de France
14,v Scotland,6,34,13,3,won,23 Feb 2008,Croke Park
6,v Wales,3,12,16,3,lost,8 Mar 2008,Croke Park
3,v Wales,38,22,46,2,lost,13 Mar 2005,Murrayfield
10,v England,26,22,43,2,lost,19 Mar 2005,Twickenham
19,v Romania,13,39,19,2,won,5 Jun 2005,Bucharest
13,v Argentina,6,19,23,2,lost,12 Nov 2005,Murrayfield
6,v Wales,10,23,13,5,won,26 Nov 2000,Millennium Stadium
9,v England,19,17,25,5,lost,2 Dec 2000,Twickenham
11,v France,16,23,32,5,lost,16 Jun 2001,Johannesburg
14,v France,15,20,15,5,won,23 Jun 2001,Durban
10,v England,13,10,33,3,lost,15 Mar 2008,Twickenham
8,v New Zealand,8,11,21,3,lost,7 Jun 2008,Wellington
7,v Australia,15,12,18,3,lost,14 Jun 2008,Melbourne
38,v Canada,0,55,0,3,won,8 Nov 2008,Limerick
8,v Samoa,8,18,11,2,won,20 Nov 2005,Murrayfield
3,v New Zealand,22,10,29,2,lost,26 Nov 2005,Murrayfield
13,v France,3,20,16,2,won,5 Feb 2006,Murrayfield
6,v Wales,14,18,28,2,lost,12 Feb 2006,Millennium Stadium
3,v England,3,18,12,2,won,25 Feb 2006,Murrayfield
17,v Italy,9,60,14,5,won,30 Jun 2001,Port Elizabeth
3,v New Zealand,12,3,12,5,lost,21 Jul 2001,Cape Town
14,v Australia,0,20,15,5,won,28 Jul 2001,Pretoria
8,v Australia,3,14,14,5,draw,18 Aug 2001,Perth
9,v New Zealand,13,15,26,5,lost,25 Aug 2001,Auckland
3,v New Zealand,10,3,22,3,lost,15 Nov 2008,Croke Park
3,v Argentina,3,17,3,3,won,22 Nov 2008,Croke Park
13,v France,10,30,21,3,won,7 Feb 2009,Croke Park
14,v Italy,9,38,9,3,won,15 Feb 2009,Rome
9,v Ireland,12,9,15,2,lost,11 Mar 2006,Lansdowne Road
10,v Italy,7,13,10,2,won,18 Mar 2006,Rome
6,v South Africa,18,16,36,2,lost,10 Jun 2006,Durban
5,v South Africa,12,15,29,2,lost,17 Jun 2006,Port Elizabeth
20,v Romania,3,48,6,2,won,11 Nov 2006,Murrayfield
31,v Pacific Is,5,34,22,2,won,18 Nov 2006,Murrayfield
10,v Australia,16,15,44,2,lost,25 Nov 2006,Murrayfield
3,v France,9,10,20,5,lost,10 Nov 2001,Stade de France
21,v Italy,12,54,26,5,won,17 Nov 2001,Genova
6,v England,9,9,29,5,lost,24 Nov 2001,Twickenham
22,v USA,15,43,20,5,won,1 Dec 2001,Houston
15,v Wales,11,34,19,5,won,8 Jun 2002,Bloemfontein
3,v England,3,14,13,3,won,28 Feb 2009,Croke Park
9,v Scotland,12,22,15,3,won,14 Mar 2009,Murrayfield
0,v Wales,6,17,15,3,won,21 Mar 2009,Millennium Stadium
7,v Canada,3,25,6,3,won,23 May 2009,Vancouver
13,v USA,0,27,10,3,won,31 May 2009,Santa Clara
6,v Australia,10,20,20,3,draw,15 Nov 2009,Croke Park
13,v Fiji,3,41,6,3,won,21 Nov 2009,Dublin
10,v England,17,20,42,2,lost,3 Feb 2007,Twickenham
9,v Wales,6,21,9,2,won,10 Feb 2007,Murrayfield
10,v Italy,24,17,37,2,lost,24 Feb 2007,Murrayfield
9,v Ireland,13,18,19,2,lost,10 Mar 2007,Murrayfield
14,v France,20,19,46,2,lost,17 Mar 2007,Stade de France
19,v Ireland,6,31,21,2,won,11 Aug 2007,Murrayfield
3,v South Africa,24,3,27,2,lost,25 Aug 2007,Murrayfield
8,v Wales,3,19,8,5,won,15 Jun 2002,Cape Town
17,v Argentina,13,49,29,5,won,29 Jun 2002,Springs
27,v Samoa,5,60,18,5,won,6 Jul 2002,Pretoria
13,v New Zealand,21,20,41,5,lost,20 Jul 2002,Wellington
10,v Australia,27,27,38,5,lost,27 Jul 2002,Brisbane
48,v Tonga,0,102,0,8,won,16 Jun 2000,North Shore City
6,v South Africa,10,15,10,3,won,28 Nov 2009,Croke Park
23,v Italy,8,29,11,3,won,6 Feb 2010,Croke Park
3,v France,17,10,33,3,lost,13 Feb 2010,Stade de France
8,v England,6,20,16,3,won,27 Feb 2010,Twickenham
16,v Wales,6,27,12,3,won,13 Mar 2010,Croke Park
28,v Portugal,10,56,10,2,won,9 Sep 2007,Saint-Etienne
21,v Romania,0,42,0,2,won,18 Sep 2007,Murrayfield
0,v New Zealand,20,0,40,2,lost,23 Sep 2007,Murrayfield
12,v Italy,10,18,16,2,won,29 Sep 2007,Saint-Etienne
6,v Argentina,13,13,19,2,lost,7 Oct 2007,Stade de France
17,v New Zealand,17,23,30,5,lost,10 Aug 2002,Durban
14,v Australia,9,33,31,5,won,17 Aug 2002,Johannesburg
3,v France,12,10,30,5,lost,9 Nov 2002,Marseille
6,v Scotland,6,6,21,5,lost,16 Nov 2002,Murrayfield
3,v England,18,3,53,5,lost,23 Nov 2002,Twickenham
26,v Scotland,6,69,20,8,won,24 Jun 2000,Dunedin
24,v Scotland,0,48,14,8,won,1 Jul 2000,Auckland
24,v Australia,24,39,35,8,won,15 Jul 2000,Sydney
19,v South Africa,12,25,12,8,won,22 Jul 2000,Christchurch
7,v Scotland,14,20,23,3,lost,20 Mar 2010,Croke Park
7,v New Zealand,38,28,66,3,lost,12 Jun 2010,New Plymouth
15,v Australia,16,15,22,3,lost,26 Jun 2010,Brisbane
6,v South Africa,13,21,23,3,lost,6 Nov 2010,Lansdowne Road
13,v Samoa,7,20,10,3,won,13 Nov 2010,Lansdowne Road
6,v France,17,6,27,2,lost,3 Feb 2008,Murrayfield
6,v Wales,10,15,30,2,lost,9 Feb 2008,Millennium Stadium
6,v Ireland,14,13,34,2,lost,23 Feb 2008,Croke Park
9,v England,3,15,9,2,won,8 Mar 2008,Murrayfield
17,v Italy,10,20,23,2,lost,15 Mar 2008,Rome
9,v Argentina,10,15,21,2,lost,7 Jun 2008,Rosario
6,v Scotland,12,29,25,5,won,7 Jun 2003,Durban
12,v Scotland,16,28,19,5,won,14 Jun 2003,Johannesburg
13,v Argentina,15,26,25,5,won,28 Jun 2003,Port Elizabeth
20,v Australia,10,26,22,5,won,12 Jul 2003,Cape Town
9,v New Zealand,22,16,52,5,lost,19 Jul 2003,Pretoria
6,v Australia,6,9,29,5,lost,2 Aug 2003,Brisbane
20,v Australia,18,23,24,8,lost,5 Aug 2000,Wellington
27,v South Africa,33,40,46,8,lost,19 Aug 2000,Johannesburg
15,v France,12,39,26,8,won,11 Nov 2000,Stade de France
24,v France,26,33,42,8,lost,18 Nov 2000,Marseille
25,v Italy,9,56,19,8,won,25 Nov 2000,Genova
26,v Samoa,6,50,6,8,won,16 Jun 2001,North Shore City
13,v New Zealand,19,18,38,3,lost,20 Nov 2010,Lansdowne Road
19,v Argentina,3,29,9,3,won,28 Nov 2010,Lansdowne Road
3,v Italy,6,13,11,3,won,5 Feb 2011,Rome
15,v France,12,22,25,3,lost,13 Feb 2011,Lansdowne Road
16,v Argentina,0,26,14,2,won,14 Jun 2008,Buenos Aires
6,v New Zealand,18,6,32,2,lost,8 Nov 2008,Murrayfield
10,v South Africa,0,10,14,2,lost,15 Nov 2008,Murrayfield
15,v Canada,0,41,0,2,won,22 Nov 2008,Aberdeen
3,v Wales,16,13,26,2,lost,8 Feb 2009,Murrayfield
3,v France,6,13,22,2,lost,14 Feb 2009,Stade de France
16,v Italy,3,26,6,2,won,28 Feb 2009,Murrayfield
11,v New Zealand,13,11,19,5,lost,9 Aug 2003,Dunedin
36,v Uruguay,6,72,6,5,won,11 Oct 2003,Perth
6,v England,6,6,25,5,lost,18 Oct 2003,Perth
24,v Georgia,6,46,19,5,won,24 Oct 2003,Sydney
31,v Argentina,14,67,19,8,won,23 Jun 2001,Christchurch
17,v France,6,37,12,8,won,30 Jun 2001,Wellington
12,v South Africa,3,12,3,8,won,21 Jul 2001,Cape Town
5,v Australia,10,15,23,8,lost,11 Aug 2001,Dunedin
13,v South Africa,9,26,15,8,won,25 Aug 2001,Auckland
14,v Scotland,9,21,18,3,won,27 Feb 2011,Murrayfield
13,v Wales,9,13,19,3,lost,12 Mar 2011,Millennium Stadium
17,v England,3,24,8,3,won,19 Mar 2011,Lansdowne Road
3,v Scotland,0,6,10,3,lost,6 Aug 2011,Murrayfield
3,v France,13,12,19,3,lost,13 Aug 2011,Bordeaux
8,v France,16,22,26,3,lost,20 Aug 2011,Lansdowne Road
12,v Ireland,9,15,22,2,lost,14 Mar 2009,Murrayfield
3,v England,15,12,26,2,lost,21 Mar 2009,Twickenham
16,v Fiji,7,23,10,2,won,14 Nov 2009,Murrayfield
3,v Australia,3,9,8,2,won,21 Nov 2009,Murrayfield
6,v Argentina,0,6,9,2,lost,28 Nov 2009,Murrayfield
31,v Samoa,3,60,10,5,won,1 Nov 2003,Brisbane
6,v New Zealand,13,9,29,5,lost,8 Nov 2003,Melbourne
6,v Australia,19,26,29,8,lost,1 Sep 2001,Sydney
7,v Ireland,16,40,29,8,won,17 Nov 2001,Lansdowne Road
9,v Scotland,6,37,6,8,won,24 Nov 2001,Murrayfield
8,v Argentina,10,24,20,8,won,1 Dec 2001,Buenos Aires
24,v Italy,3,64,10,8,won,8 Jun 2002,Hamilton
10,v Ireland,3,15,6,8,won,15 Jun 2002,Dunedin
9,v England,13,9,20,3,lost,27 Aug 2011,Lansdowne Road
10,v USA,0,22,10,3,won,11 Sep 2011,New Plymouth
6,v Australia,6,15,6,3,won,17 Sep 2011,Auckland
36,v Russia,0,62,12,3,won,25 Sep 2011,Rotorua
9,v Italy,6,36,6,3,won,2 Oct 2011,Dunedin
6,v France,15,9,18,2,lost,7 Feb 2010,Murrayfield
18,v Wales,9,24,31,2,lost,13 Feb 2010,Millennium Stadium
6,v Italy,6,12,16,2,lost,27 Feb 2010,Rome
9,v England,6,15,15,2,draw,13 Mar 2010,Murrayfield
14,v Ireland,7,23,20,2,won,20 Mar 2010,Croke Park
11,v Ireland,11,31,17,5,won,12 Jun 2004,Bloemfontein
20,v Ireland,10,26,17,5,won,19 Jun 2004,Cape Town
27,v Wales,6,53,18,5,won,26 Jun 2004,Pretoria
23,v Pacific Is,0,38,24,5,won,17 Jul 2004,Gosford
21,v New Zealand,12,21,23,5,lost,24 Jul 2004,Christchurch
13,v Ireland,3,40,8,8,won,22 Jun 2002,Auckland
32,v Fiji,6,68,18,8,won,29 Jun 2002,Wellington
6,v Australia,3,12,6,8,won,13 Jul 2002,Christchurch
21,v South Africa,13,41,20,8,won,20 Jul 2002,Wellington
3,v Australia,8,14,16,8,lost,3 Aug 2002,Sydney
17,v South Africa,17,30,23,8,won,10 Aug 2002,Durban
14,v England,17,28,31,8,lost,9 Nov 2002,Twickenham
10,v France,10,20,20,8,draw,16 Nov 2002,Stade de France
3,v Wales,10,10,22,3,lost,8 Oct 2011,Wellington
10,v Wales,5,21,23,3,lost,5 Feb 2012,Lansdowne Road
17,v Italy,10,42,10,3,won,25 Feb 2012,Lansdowne Road
17,v France,6,17,17,3,draw,4 Mar 2012,Stade de France
22,v Scotland,14,32,14,3,won,10 Mar 2012,Lansdowne Road
6,v England,9,9,30,3,lost,17 Mar 2012,Twickenham
3,v New Zealand,23,10,42,3,lost,9 Jun 2012,Auckland
10,v New Zealand,9,19,22,3,lost,16 Jun 2012,Christchurch
18,v Japan,7,36,21,11,won,27 May 2000,Osaka
12,v Argentina,13,24,16,2,won,12 Jun 2010,Tucuman
10,v Argentina,6,13,9,2,won,19 Jun 2010,Mar del Plata
3,v New Zealand,28,3,49,2,lost,13 Nov 2010,Murrayfield
12,v South Africa,9,21,17,2,won,20 Nov 2010,Murrayfield
13,v Samoa,10,19,16,2,won,27 Nov 2010,Aberdeen
